feature,importance,pearson_r,p_value
docking_score,0.3260869565217395,0.14877110684327505,0.432682450574364
boltz2_probability,0.32608695652173886,0.14356888568882564,0.4491220301079494
logp,0.2826086956521738,-0.21155507391791,0.2617523221548715
mw,0.06521739130434782,-0.25634656606642886,0.1715052222145993
hbd,0.0,-0.17622684421256035,0.351574912525684
hba,0.0,-0.10244389988519645,0.590103056332628
n_rings,0.0,-0.28695099603221746,0.1241831183829521
tpsa,0.0,-0.16637886353936568,0.37955326500899006
boltz2_affinity,0.0,0.20434262474582174,0.27874063542902644
confidence_score,0.0,0.06946426237824231,0.7153012401797539
iptm,0.0,0.06746250718880137,0.7231812365127259
