compound_id,docking_score,docking_mean,docking_std,boltz2_affinity,boltz2_probability,confidence_score,iptm,docking_boltz_correlation
1,-8.713,-6.912125,1.1903051538891192,2.034541130065918,0.22537019848823547,0.3744680881500244,0.2715368866920471,-17.72695686626434
10,-10.333,-8.42625,1.364436490826891,-0.20680852234363556,0.3643244504928589,0.3953889012336731,0.29590898752212524,2.136952461376786
11,-11.032,-8.790375000000001,1.523813713803298,0.9525597095489502,0.4149807095527649,0.4232660233974457,0.37872499227523804,-10.508638715744018
12,-10.054,-8.36075,1.236834543299952,-0.23579072952270508,0.5423316955566406,0.41412797570228577,0.4042430818080902,2.370639994621277
13,-10.396,-8.102875000000001,1.5471213945178965,1.3172292709350586,0.20396926999092102,0.3764408528804779,0.23731520771980286,-13.69391550064087
14,-12.674,-9.453,2.3856950769115484,0.59177565574646,0.24296759068965912,0.4500749707221985,0.23324526846408844,-7.500164660930634
15,-10.066,-8.760250000000001,1.1813708932845772,0.7414485216140747,0.24570097029209137,0.44505617022514343,0.6282439827919006,-7.463420818567276
16,-11.798,-9.114,1.7410656937634492,0.12552180886268616,0.16043201088905334,0.36192572116851807,0.1967940330505371,-1.4809063009619712
17,-10.676,-8.418125,1.390250646241533,0.980569064617157,0.2176225185394287,0.5140019655227661,0.802745521068573,-10.468555333852768
18,-11.077,-8.728124999999999,1.5034804153613042,0.730513334274292,0.439057320356369,0.37516510486602783,0.2948012053966522,-8.091896203756333
19,-8.874,-7.541625,0.8976878546438066,0.38781219720840454,0.19802449643611908,0.364885538816452,0.2641448974609375,-3.4414454380273822
2,-8.384,-6.875624999999999,1.0234952292878556,2.173858404159546,0.40605396032333374,0.38846588134765625,0.31789860129356384,-18.225628860473634
20,-9.342,-7.851999999999999,1.1881565553410882,0.46155133843421936,0.277926504611969,0.38379350304603577,0.2691778838634491,-4.311812603652477
21,-9.328,-7.876125,1.1910736162702118,0.9299599528312683,0.3983595073223114,0.40373215079307556,0.34179407358169556,-8.67466644001007
22,-9.613,-7.666499999999999,1.2691622236735538,1.5892107486724854,0.33685535192489624,0.3865072727203369,0.30620071291923523,-15.277082926988601
23,-8.174,-6.652,1.0031375778027658,1.8170963525772095,0.431218683719635,0.42219361662864685,0.5115047097206116,-14.85294558596611
24,-9.753,-7.74525,1.1542087928533555,1.4476993083953857,0.3812493085861206,0.45176297426223755,0.4995875656604767,-14.119411354780198
25,-8.706,-6.9346250000000005,1.113840421413678,1.3245882987976074,0.2262350618839264,0.42614123225212097,0.3949040174484253,-11.531865729331969
26,-8.289,-6.69175,1.0918456564460015,1.8871771097183228,0.4723471999168396,0.3785475790500641,0.3228137195110321,-15.642811062455177
27,-9.764,-7.941,1.405296232116204,0.3338117301464081,0.1511894166469574,0.37691637873649597,0.330011785030365,-3.259337733149528
28,-7.675,-6.1075,1.0469060368533558,1.6819720268249512,0.3984500765800476,0.3817831873893738,0.3285421133041382,-12.9091353058815
29,-8.534,-6.791375,1.2310566536008811,1.8383655548095703,0.47045454382896423,0.3850189447402954,0.34339404106140137,-15.688611644744874
3,-10.036,-7.71425,1.399941405023796,0.5277581214904785,0.4149271547794342,0.43352147936820984,0.5156318545341492,-5.296580507278442
30,-9.06,-7.468999999999999,1.1549457779480388,0.9370822906494141,0.23048052191734314,0.44467613101005554,0.5469397306442261,-8.489965553283692
4,-9.964,-8.344125,1.133491887652929,0.5903443694114685,0.6772263646125793,0.367898553609848,0.22677429020404816,-5.882191296815872
5,-9.096,-7.39175,1.1703989437367073,0.9517209529876709,0.5492913722991943,0.41055962443351746,0.4849148392677307,-8.656853788375855
6,-12.276,-9.067,1.7707980545505466,-0.04653877019882202,0.4344753324985504,0.43003302812576294,0.38944026827812195,0.5713099429607391
7,-10.444,-8.169,1.5781593709128365,0.4584071636199951,0.2092735916376114,0.395449697971344,0.3346309959888458,-4.78760441684723
8,-10.972,-8.309125,1.6439661217236199,0.6454262733459473,0.26511991024017334,0.3919830024242401,0.36758044362068176,-7.081617071151733
9,-10.565,-8.375125,1.3559685134157797,-0.3627592623233795,0.31031161546707153,0.3930129110813141,0.24354104697704315,3.8325516064465046
