compound_id,stoichiometry,site_id,binding_energy,n_contacts,h_bonds,salt_bridges,aromatic,hydrophobic,vdw,contact_residues
16,2to3,23,-6.54,0,0,0,0,0,0,
16,2to3,5,-9.624,0,0,0,0,0,0,
16,2to3,21,-8.094,0,0,0,0,0,0,
16,2to3,34,-11.797,0,0,0,0,0,0,
16,2to3,35,-11.798,0,0,0,0,0,0,
16,2to3,18,-8.325,0,0,0,0,0,0,
16,2to3,25,-8.064,0,0,0,0,0,0,
16,2to3,11,-8.67,0,0,0,0,0,0,
17,2to3,23,-5.678,0,0,0,0,0,0,
17,2to3,5,-8.676,0,0,0,0,0,0,
17,2to3,21,-7.729,0,0,0,0,0,0,
17,2to3,34,-9.785,0,0,0,0,0,0,
17,2to3,35,-10.676,0,0,0,0,0,0,
17,2to3,18,-7.91,0,0,0,0,0,0,
17,2to3,25,-8.14,0,0,0,0,0,0,
17,2to3,11,-8.751,0,0,0,0,0,0,
18,2to3,23,-6.438,0,0,0,0,0,0,
18,2to3,5,-8.767,0,0,0,0,0,0,
18,2to3,21,-7.75,0,0,0,0,0,0,
18,2to3,34,-11.062,0,0,0,0,0,0,
18,2to3,35,-11.077,0,0,0,0,0,0,
18,2to3,18,-8.512,0,0,0,0,0,0,
18,2to3,25,-7.881,0,0,0,0,0,0,
18,2to3,11,-8.338,0,0,0,0,0,0,
19,2to3,23,-5.969,0,0,0,0,0,0,
19,2to3,5,-7.936,0,0,0,0,0,0,
19,2to3,21,-7.321,0,0,0,0,0,0,
19,2to3,34,-8.874,0,0,0,0,0,0,
19,2to3,35,-8.708,0,0,0,0,0,0,
19,2to3,18,-6.867,0,0,0,0,0,0,
19,2to3,25,-7.119,0,0,0,0,0,0,
19,2to3,11,-7.539,0,0,0,0,0,0,
20,2to3,23,-5.648,0,0,0,0,0,0,
20,2to3,5,-8.869,0,0,0,0,0,0,
20,2to3,21,-7.152,0,0,0,0,0,0,
20,2to3,34,-9.342,0,0,0,0,0,0,
20,2to3,35,-9.321,0,0,0,0,0,0,
20,2to3,18,-7.619,0,0,0,0,0,0,
20,2to3,25,-7.18,0,0,0,0,0,0,
20,2to3,11,-7.685,0,0,0,0,0,0,
21,2to3,23,-5.631,0,0,0,0,0,0,
21,2to3,5,-8.295,0,0,0,0,0,0,
21,2to3,21,-7.468,0,0,0,0,0,0,
21,2to3,34,-9.328,0,0,0,0,0,0,
21,2to3,35,-9.195,0,0,0,0,0,0,
21,2to3,18,-6.576,0,0,0,0,0,0,
21,2to3,25,-7.996,0,0,0,0,0,0,
21,2to3,11,-8.52,0,0,0,0,0,0,
22,2to3,23,-5.528,0,0,0,0,0,0,
22,2to3,5,-7.125,0,0,0,0,0,0,
22,2to3,21,-7.165,0,0,0,0,0,0,
22,2to3,34,-9.613,0,0,0,0,0,0,
22,2to3,35,-9.572,0,0,0,0,0,0,
22,2to3,18,-7.154,0,0,0,0,0,0,
22,2to3,25,-7.396,0,0,0,0,0,0,
22,2to3,11,-7.779,0,0,0,0,0,0,
23,2to3,23,-5.179,0,0,0,0,0,0,
23,2to3,5,-6.093,0,0,0,0,0,0,
23,2to3,21,-6.403,0,0,0,0,0,0,
23,2to3,34,-8.15,0,0,0,0,0,0,
23,2to3,35,-8.174,0,0,0,0,0,0,
23,2to3,18,-6.146,0,0,0,0,0,0,
23,2to3,25,-5.96,0,0,0,0,0,0,
23,2to3,11,-7.111,0,0,0,0,0,0,
24,2to3,23,-6.042,0,0,0,0,0,0,
24,2to3,5,-8.213,0,0,0,0,0,0,
24,2to3,21,-7.389,0,0,0,0,0,0,
24,2to3,34,-9.753,0,0,0,0,0,0,
24,2to3,35,-9.127,0,0,0,0,0,0,
24,2to3,18,-7.284,0,0,0,0,0,0,
24,2to3,25,-6.65,0,0,0,0,0,0,
24,2to3,11,-7.504,0,0,0,0,0,0,
25,2to3,23,-5.299,0,0,0,0,0,0,
25,2to3,5,-6.437,0,0,0,0,0,0,
25,2to3,21,-6.788,0,0,0,0,0,0,
25,2to3,34,-8.676,0,0,0,0,0,0,
25,2to3,35,-8.706,0,0,0,0,0,0,
25,2to3,18,-6.322,0,0,0,0,0,0,
25,2to3,25,-6.276,0,0,0,0,0,0,
25,2to3,11,-6.973,0,0,0,0,0,0,
26,2to3,23,-4.811,0,0,0,0,0,0,
26,2to3,5,-6.501,0,0,0,0,0,0,
26,2to3,21,-6.682,0,0,0,0,0,0,
26,2to3,34,-8.289,0,0,0,0,0,0,
26,2to3,35,-8.25,0,0,0,0,0,0,
26,2to3,18,-5.856,0,0,0,0,0,0,
26,2to3,25,-6.214,0,0,0,0,0,0,
26,2to3,11,-6.931,0,0,0,0,0,0,
27,2to3,23,-5.367,0,0,0,0,0,0,
27,2to3,5,-8.849,0,0,0,0,0,0,
27,2to3,21,-7.711,0,0,0,0,0,0,
27,2to3,34,-9.75,0,0,0,0,0,0,
27,2to3,35,-9.764,0,0,0,0,0,0,
27,2to3,18,-6.756,0,0,0,0,0,0,
27,2to3,25,-7.397,0,0,0,0,0,0,
27,2to3,11,-7.934,0,0,0,0,0,0,
28,2to3,23,-4.305,0,0,0,0,0,0,
28,2to3,5,-5.798,0,0,0,0,0,0,
