compound_id,site_id,is_active,mean_energy,min_energy,max_energy,std_energy,n_stoichiometries,consensus
19,21,False,-7.128,-7.321,-6.935,0.19300000000000006,2,True
24,21,True,-7.122,-7.389,-6.855,0.2669999999999999,2,True
22,21,False,-7.014,-7.165,-6.863,0.1509999999999998,2,True
30,21,False,-7.013,-7.282,-6.744,0.26900000000000013,2,True
5,21,False,-6.7305,-6.939,-6.522,0.2084999999999999,2,True
1,21,True,-6.563,-6.951,-6.175,0.3879999999999999,2,True
2,21,True,-6.487,-6.695,-6.279,0.20800000000000018,2,True
26,21,False,-6.4605,-6.682,-6.239,0.22150000000000025,2,True
25,21,True,-6.454000000000001,-6.788,-6.12,0.3340000000000001,2,True
23,21,False,-6.3855,-6.403,-6.368,0.017499999999999627,2,True
29,21,False,-6.276,-6.601,-5.951,0.3250000000000002,2,True
28,21,False,-5.8555,-6.216,-5.495,0.36050000000000004,2,True
14,23,False,-8.4955,-9.62,-7.371,1.1244999999999994,2,True
11,23,False,-8.0825,-9.965,-6.2,1.8824999999999998,2,True
15,23,False,-7.627000000000001,-8.82,-6.434,1.193,2,True
4,23,False,-7.5095,-8.263,-6.756,0.7534999999999998,2,True
6,23,False,-7.4605,-8.618,-6.303,1.1575000000000002,2,True
16,23,False,-7.390499999999999,-8.241,-6.54,0.8504999999999998,2,True
18,23,True,-7.384,-8.33,-6.438,0.9460000000000002,2,True
12,23,True,-7.288,-8.382,-6.194,1.0939999999999999,2,True
9,23,False,-7.261,-8.638,-5.884,1.3769999999999998,2,True
10,23,False,-6.8805,-7.703,-6.058,0.8225000000000002,2,True
27,23,False,-6.861000000000001,-8.355,-5.367,1.4940000000000002,2,True
24,23,True,-6.8580000000000005,-7.674,-6.042,0.8160000000000003,2,True
17,23,False,-6.853,-8.028,-5.678,1.1750000000000003,2,True
3,23,True,-6.8355,-7.716,-5.955,0.8805000000000001,2,True
21,23,False,-6.720000000000001,-7.809,-5.631,1.089,2,True
13,23,False,-6.6690000000000005,-7.686,-5.652,1.017,2,True
30,23,False,-6.643,-7.566,-5.72,0.923,2,True
19,23,False,-6.6365,-7.304,-5.969,0.6675,2,True
20,23,False,-6.5945,-7.541,-5.648,0.9465000000000003,2,True
7,23,False,-6.519500000000001,-7.706,-5.333,1.1865,2,True
8,23,False,-6.481,-7.552,-5.41,1.0709999999999997,2,True
5,23,False,-6.417,-7.541,-5.293,1.124,2,True
22,23,False,-6.2725,-7.017,-5.528,0.7445000000000004,2,True
23,23,False,-5.984,-6.789,-5.179,0.8049999999999997,2,True
1,23,True,-5.912,-6.946,-4.878,1.0339999999999998,2,True
25,23,True,-5.890000000000001,-6.481,-5.299,0.5909999999999997,2,True
26,23,False,-5.8225,-6.834,-4.811,1.0114999999999998,2,True
2,23,True,-5.7855,-6.504,-5.067,0.7184999999999997,2,True
29,23,False,-5.631,-6.628,-4.634,0.9969999999999999,2,True
28,23,False,-5.3035,-6.302,-4.305,0.9984999999999999,2,True
14,25,False,-9.4185,-9.637,-9.2,0.21850000000000058,2,True
11,25,False,-8.9925,-9.756,-8.229,0.7635000000000005,2,True
10,25,False,-8.5485,-8.591,-8.506,0.04249999999999954,2,True
6,25,False,-8.548,-8.829,-8.267,0.2810000000000006,2,True
9,25,False,-8.3105,-8.479,-8.142,0.16849999999999987,2,True
15,25,False,-8.2475,-8.428,-8.067,0.18050000000000033,2,True
18,25,True,-8.1805,-8.48,-7.881,0.2995000000000001,2,True
16,25,False,-8.122499999999999,-8.181,-8.064,0.05849999999999955,2,True
7,25,False,-7.8475,-8.023,-7.672,0.1755,2,True
4,25,False,-7.823499999999999,-8.12,-7.527,0.29649999999999954,2,True
27,25,False,-7.7860000000000005,-8.175,-7.397,0.38900000000000023,2,True
17,25,False,-7.7655,-8.14,-7.391,0.3745000000000003,2,True
21,25,False,-7.7515,-7.996,-7.507,0.24450000000000038,2,True
13,25,False,-7.718,-7.863,-7.573,0.14500000000000002,2,True
12,25,True,-7.5715,-7.726,-7.417,0.15450000000000008,2,True
8,25,False,-7.5555,-7.848,-7.263,0.2925,2,True
3,25,True,-7.527,-8.006,-7.048,0.4790000000000001,2,True
5,25,False,-7.525,-7.886,-7.164,0.36100000000000015,2,True
20,25,False,-7.3915,-7.603,-7.18,0.21150000000000002,2,True
22,25,False,-7.3855,-7.396,-7.375,0.010499999999999954,2,True
30,25,False,-7.327,-7.676,-6.978,0.3490000000000002,2,True
19,25,False,-7.22,-7.321,-7.119,0.10099999999999998,2,True
24,25,True,-7.0795,-7.509,-6.65,0.4295,2,True
1,25,True,-6.670999999999999,-7.008,-6.334,0.3370000000000002,2,True
26,25,False,-6.535500000000001,-6.857,-6.214,0.3214999999999999,2,True
2,25,True,-6.449,-6.495,-6.403,0.04600000000000026,2,True
29,25,False,-6.412000000000001,-6.605,-6.219,0.19300000000000006,2,True
25,25,True,-6.3995,-6.523,-6.276,0.12349999999999994,2,True
23,25,False,-6.396,-6.832,-5.96,0.43599999999999994,2,True
28,25,False,-5.803,-6.313,-5.293,0.5099999999999998,2,True
14,34,False,-12.5185,-12.674,-12.363,0.15549999999999997,2,True
6,34,False,-11.979,-12.276,-11.682,0.2969999999999997,2,True
11,34,False,-11.8245,-12.617,-11.032,0.7925000000000004,2,True
16,34,False,-10.9285,-11.797,-10.06,0.8685,2,True
18,34,True,-10.626999999999999,-11.062,-10.192,0.4349999999999996,2,True
15,34,False,-10.4375,-10.816,-10.059,0.3785000000000007,2,True
4,34,False,-10.376999999999999,-10.808,-9.946,0.43100000000000005,2,True
7,34,False,-10.3335,-10.434,-10.233,0.10049999999999937,2,True
9,34,False,-10.239,-10.565,-9.913,0.3259999999999996,2,True
10,34,False,-10.18,-10.333,-10.027,0.15300000000000047,2,True
12,34,True,-10.062000000000001,-10.07,-10.054,0.008000000000000007,2,True
8,34,False,-9.9555,-10.132,-9.779,0.17649999999999988,2,True
13,34,False,-9.944500000000001,-10.396,-9.493,0.45150000000000023,2,True
17,34,False,-9.853,-9.921,-9.785,0.06799999999999962,2,True
27,34,False,-9.733,-9.75,-9.716,0.017000000000000348,2,True
20,34,False,-9.725000000000001,-10.108,-9.342,0.383,2,True
3,34,True,-9.6375,-10.036,-9.239,0.3984999999999994,2,True
21,34,False,-9.3585,-9.389,-9.328,0.03049999999999997,2,True
5,34,False,-9.232,-9.368,-9.096,0.13600000000000012,2,True
22,34,False,-9.183499999999999,-9.613,-8.754,0.4295,2,True
