compound_id,smiles,is_active,activity_uM,potentiation_pct,stoichiometry,site_id,site_description,binding_energy,has_pose
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,18,ECD alpha10/alpha10,-7.77,True
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,25,ECD alpha9/alpha10,-8.267,True
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,11,ECD alpha10/alpha9,-9.344,True
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,23,ECD alpha9/alpha10,-5.333,True
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,5,ECD alpha9/alpha10,-8.541,True
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,21,ECD alpha9/alpha10,-7.209,True
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,34,TMD M2 pore,-10.434,True
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,35,TMD M2,-10.444,True
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,18,ECD alpha10/alpha10,-7.574,True
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,25,ECD alpha9/alpha10,-8.023,True
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,11,ECD alpha10/alpha9,-7.794,True
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,23,ECD alpha9/alpha10,-5.41,True
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,5,ECD alpha9/alpha10,-9.015,True
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,21,ECD alpha9/alpha10,-8.156,True
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,34,TMD M2 pore,-10.132,True
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,35,TMD M2,-10.972,True
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,18,ECD alpha10/alpha10,-7.22,True
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,25,ECD alpha9/alpha10,-7.263,True
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,11,ECD alpha10/alpha9,-8.305,True
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,23,ECD alpha9/alpha10,-5.884,True
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,5,ECD alpha9/alpha10,-8.736,True
